지역,10대미만(여자),10대미만(남자),10대(여자),10대(남자),20대(여자),20대(남자),30대(여자),30대(남자),40대(여자),40대(남자),50대(여자),50대(남자),60대(여자),60대(남자),70대(여자),70대(남자),80대(여자),80대(남자),90대(여자),90대(남자),100대(여자),100대(남자)
경상북도,0.030158141324210325,0.03319456466482558,0.0563455752030007,0.06136048253026119,0.060096451094348954,0.0678592528475056,0.053432807111550774,0.049572015443166674,0.0836596457964085,0.07261311020430596,0.08714947171729662,0.0721459681519036,0.08268414327521537,0.06388854540208565,0.04771718670568677,0.030171880796339805,0.02936125194070044,0.01121140925765632,0.005578225684569199,0.0015525603506313288,0.00023357102620117336,1.3739472129480785e-05
경상남도,0.027400398406374503,0.026902390438247013,0.05325697211155379,0.05556772908366534,0.0649203187250996,0.07061752988047809,0.05641434262948207,0.057549800796812746,0.07709163346613546,0.06759960159362549,0.08687250996015937,0.07256972111553785,0.0872011952191235,0.06956175298804781,0.04835657370517928,0.033276892430278884,0.027360557768924303,0.011294820717131475,0.004910358565737052,0.0010856573705179283,0.00017928286852589642,9.960159362549801e-06
대전광역시,0.02819701462865095,0.029091632014048806,0.040489720183562235,0.04279253160153079,0.06083398220705422,0.06424678186246086,0.06865360083497622,0.06684779907556203,0.07466741770348403,0.06792465333576315,0.08575073308924637,0.06881927072116101,0.08846771922267689,0.07026059873096867,0.05100975795629628,0.03714318848262951,0.032454730703600006,0.01375060055333742,0.006494259538443697,0.001739533804940276,0.0002982057951326187,6.626795447391528e-05
경기도,0.038029551031201106,0.03950723221241278,0.052545824319262094,0.053989803999849637,0.05848376948692058,0.059894047666884,0.07233119760874891,0.06870439765696798,0.0832077088294043,0.07835469273953018,0.07734494393236886,0.06485853795113024,0.07423662860557449,0.05841895890879726,0.042422412016399666,0.032725453317588686,0.025136134619348032,0.012354192401867064,0.005389647676735206,0.001707110627768222,0.00029035138999246904,6.740300124825174e-05
전라북도,0.028089369274368944,0.029064786133263035,0.05968496671719502,0.060080405984314245,0.06626243986027812,0.07032228300270217,0.052026626243986025,0.04659592697554867,0.07700520661701707,0.06664469781849337,0.08140776379094444,0.07438212614512621,0.07663612996770579,0.06804191656231463,0.05102484676728399,0.03574770974757793,0.0350491003756673,0.012640875238911223,0.007223357279377843,0.0018981084821722797,0.00015817570684768998,1.3181308903974165e-05
강원도,0.02888758487719004,0.03068153240003353,0.051286780115684466,0.052711878615139575,0.06037387878279822,0.06315701232291056,0.05982060524771565,0.05432140162628887,0.07620085505909967,0.06800234722105793,0.0872663257607511,0.07217704753122642,0.08842317042501467,0.07001425098499454,0.04773241679939643,0.032760499622768044,0.033514963534244276,0.013027076871489646,0.007628468438259703,0.0016765864699471876,0.00031855142928996564,1.6765864699471876e-05
광주광역시,0.03199364414795011,0.034566250930047795,0.04985056181192227,0.05025410797381994,0.06508442942355953,0.06687516551698047,0.06688777633453977,0.06441605609291651,0.08002824823133284,0.07918332345485958,0.07990214005573981,0.06744265230714908,0.07592973252455956,0.0595861129677037,0.048551647603314124,0.03175403861432337,0.02974891862239429,0.010340870398627943,0.006343241232329092,0.0008953680467104682,0.0003531028916604663,1.261081755930237e-05
충청남도,0.03136867793635778,0.03171143009912392,0.059076762774373105,0.062422023882970704,0.06797460891978228,0.07262232824689124,0.06509549075254664,0.06730281468076063,0.07886041760923511,0.0734175132645087,0.07929914037757578,0.06916738644620847,0.0702779034535708,0.057692044036797875,0.042295616885342543,0.028681500980271186,0.02451363468103484,0.010899518775963476,0.005429194258215769,0.0015492397757029847,0.0002193613841703341,0.00012339077859581293
부산광역시,0.022003099028032116,0.022946893928722355,0.03268065924778138,0.03551204394985209,0.05379630933934357,0.057233413156782646,0.04704888012396112,0.04886603747006621,0.06195238766023384,0.06076912241160727,0.08289899985913508,0.06885476827722214,0.1092970840963516,0.08529370333849838,0.07874348499788703,0.0533878010987463,0.04790815607832089,0.020228201155092267,0.00804338639244964,0.0022397520777574305,0.00026764333004648545,2.817298211015636e-05
제주특별자치도,0.034690120679075474,0.03669462057680507,0.06009408877070976,0.06308038453671508,0.06913479239108201,0.06966659848639804,0.050807936183268565,0.04802618122315402,0.08054816935978727,0.07253016976886889,0.08840253630599304,0.06893025158519124,0.0742483125383514,0.055716915524647165,0.04794436490079771,0.03305379423194928,0.026835753732869706,0.011331560646348946,0.006831662916751892,0.000981795868275721,0.0003681734506033954,8.181632235631008e-05
울산광역시,0.02399063779988297,0.025996823539246008,0.05387444620914486,0.056967315890662874,0.06423973919585388,0.07468862325503636,0.052829557803226616,0.052411602440859316,0.07845022151634205,0.06231714452896431,0.08484493856056173,0.06770876870350247,0.09642230209813592,0.06908802139931455,0.052913148875700075,0.03941319067123631,0.026540165510323496,0.011911727827468027,0.004221349159909722,0.001086683942154978,8.359107247345983e-05,0.0
충청북도,0.0346777648570904,0.03533876002203317,0.059807821776118486,0.061570475549299224,0.06082379582593794,0.06493665463002632,0.06106860884999082,0.05662525246343105,0.08231837933778077,0.07264826488769202,0.08274680212987331,0.07427627149764368,0.07539017075708428,0.0624273211334843,0.04181406450823184,0.027565946508354245,0.027761796927596546,0.011212436501621886,0.0053858865291633515,0.001309749678682906,0.00025705367525552357,3.672195360793194e-05
전라남도,0.03192987688687843,0.03464731321767659,0.059153949396033204,0.06337923149574987,0.06551672714619476,0.07033851965998907,0.057977498301602294,0.05347053072857119,0.07835827078258853,0.07572368312041225,0.07996553495385329,0.07779489983595964,0.07146526155324684,0.06235190800483836,0.04253450647048102,0.03070371659127438,0.02734006064522543,0.009312190353101026,0.005965104140776458,0.0014581365677453564,0.00014912760351941143,0.0004639525442826134
대구광역시,0.0237646955798323,0.0256255883705147,0.03409812378220987,0.037896534360838056,0.06255883705147011,0.06825097970532215,0.06182542636337763,0.07120651531405302,0.07008997963964358,0.06797731900081004,0.09289138953959324,0.07239967598572586,0.09451146091030496,0.07313308667381833,0.05591435514591589,0.03657201655099941,0.03188694528975195,0.012555553123015959,0.005363749808437507,0.0012588392407557414,0.00021892856360969417,0.0
서울특별시,0.015323168509294133,0.0156268983112623,0.025209573563358036,0.026120762969262544,0.05271230713157575,0.056782286477949216,0.04765520592880573,0.051877050176163286,0.054215769651318184,0.06867330822500303,0.07716255619001336,0.06480075324990889,0.11963916899526182,0.07893937553152715,0.09754282590207751,0.06104969019560199,0.04785263030008505,0.023463127202041065,0.011344308103511117,0.003325841331551452,0.000531527153444296,0.00015186490098408455
세종특별자치시,0.03715895776376723,0.03660101545500195,0.05317190202533058,0.050047425096245046,0.07928360207554538,0.0648328962785248,0.10612062712715505,0.10444680020085922,0.07515482899068236,0.07493165206717625,0.06706466551358589,0.056631144339675275,0.06527925012553702,0.0511633097137756,0.026055905819338282,0.02622328851196786,0.013892763488255314,0.007085867321318976,0.003459242314344697,0.0010042961557774927,0.0002789711543826368,0.00011158846175305474
