속성 H 코드,속성 H 상위코드
2,1
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
31,30
32,30
33,30
34,30
35,30
36,30
37,30
38,30
39,30
40,30
41,30
42,30
43,30
44,30
45,30
46,30
47,30
49,48
50,48
51,48
52,48
53,48
54,48
55,48
56,48
57,48
59,58
60,58
61,58
62,58
63,58
64,58
65,58
66,58
67,58
68,58
69,58
70,58
72,71
73,71
74,71
75,71
76,71
77,71
79,78
80,78
81,78
82,78
83,78
84,78
86,85
87,85
88,85
89,85
90,85
91,85
93,92
95,94
96,94
97,94
98,94
99,94
100,94
101,94
102,94
103,94
104,94
105,94
106,94
107,94
108,94
109,94
110,94
111,94
112,94
113,94
114,94
115,94
116,94
117,94
118,94
119,94
120,94
121,94
122,94
123,94
124,94
125,94
126,94
127,94
128,94
129,94
130,94
131,94
132,94
133,94
134,94
135,94
136,94
137,94
138,94
139,94
140,94
141,94
142,94
143,94
144,94
145,94
146,94
147,94
148,94
150,149
151,149
152,149
153,149
154,149
155,149
156,149
157,149
158,149
159,149
160,149
161,149
162,149
163,149
164,149
165,149
166,149
167,149
168,149
170,169
171,169
172,169
173,169
174,169
175,169
176,169
177,169
178,169
179,169
180,169
181,169
182,169
183,169
184,169
185,169
186,169
187,169
189,188
190,188
191,188
192,188
193,188
194,188
195,188
196,188
197,188
198,188
199,188
200,188
201,188
202,188
203,188
204,188
205,188
206,188
207,188
209,208
210,208
211,208
212,208
213,208
214,208
215,208
216,208
217,208
218,208
219,208
220,208
221,208
222,208
223,208
224,208
225,208
227,226
228,226
229,226
230,226
231,226
232,226
233,226
234,226
235,226
236,226
237,226
238,226
239,226
240,226
241,226
242,226
243,226
244,226
245,226
246,226
247,226
248,226
249,226
251,250
252,250
253,250
254,250
255,250
256,250
257,250
258,250
259,250
260,250
261,250
262,250
263,250
264,250
265,250
266,250
267,250
268,250
269,250
270,250
271,250
272,250
273,250
274,250
275,250
276,250
278,277
279,277
280,277
281,277
282,277
283,277
284,277
285,277
286,277
287,277
288,277
289,277
290,277
291,277
292,277
293,277
294,277
295,277
296,277
297,277
298,277
299,277
300,277
301,277
303,302
304,302
305,302
306,302
307,302
309,308
310,308
311,308
313,312
314,314
